reported_elapsed_s,mz_44_au,mz_28_au
8.0,0.0641765,0.9459404
10.0,0.0661517,0.9457784
12.0,0.0680878,0.9454896
14.0,0.0699426,0.9450765
16.0,0.0716759,0.9445431
18.0,0.0732504,0.9438953
20.0,0.0746327,0.9431403
22.0,0.0757942,0.9422868
24.0,0.0767114,0.9413448
26.0,0.0773669,0.9403256
28.0,0.0777496,0.9392412
30.0,0.0778548,0.9381047
32.0,0.0776846,0.9369298
34.0,0.077248,0.9357306
36.0,0.07656,0.9345215
38.0,0.0756421,0.933317
40.0,0.0745211,0.9321315
42.0,0.0732289,0.9309789
44.0,0.0718016,0.9298728
46.0,0.0702788,0.9288258
48.0,0.0687023,0.9278499
50.0,0.0671155,0.9269558
52.0,0.0655623,0.9261531
54.0,0.0640857,0.9254499
56.0,0.0627276,0.9248532
58.0,0.0615268,0.9243679
60.0,0.0605191,0.9239977
62.0,0.0597355,0.9237445
64.0,0.0592022,0.9236083
66.0,0.0589398,0.9235875
68.0,0.0589626,0.923679
70.0,0.0592784,0.9238775
72.0,0.0598885,0.9241767
74.0,0.0607874,0.9245685
76.0,0.0619632,0.9250433
78.0,0.0633974,0.9255904
80.0,0.0650662,0.9261978
82.0,0.0669402,0.9268528
84.0,0.0689857,0.9275417
86.0,0.071165,0.9282502
88.0,0.0734379,0.9289636
90.0,0.0757622,0.9296669
92.0,0.0780947,0.9303453
94.0,0.0803927,0.9309839
96.0,0.0826144,0.9315685
98.0,0.0847203,0.9320851
100.0,0.0866742,0.9325209
102.0,0.0884436,0.9328635
104.0,0.0900011,0.9331021
106.0,0.0913245,0.9332269
108.0,0.0923977,0.9332295
110.0,0.093211,0.9331029
112.0,0.0937614,0.9328419
114.0,0.0940524,0.9324428
116.0,0.0940942,0.9319034
118.0,0.0939036,0.9312236
120.0,0.0935033,0.9304047
122.0,0.0929213,0.9294498
124.0,0.0921909,0.9283637
126.0,0.0913492,0.9271525
128.0,0.0904365,0.925824
130.0,0.0894957,0.9243873
132.0,0.0885707,0.9228527
134.0,0.0877058,0.9212316
136.0,0.0869446,0.9195361
138.0,0.0863289,0.9177792
140.0,0.0858978,0.9159746
142.0,0.0856868,0.914136
144.0,0.0857268,0.9122775
146.0,0.0860437,0.9104129
148.0,0.0866577,0.908556
150.0,0.0875826,0.9067199
152.0,0.0888259,0.9049173
154.0,0.0903884,0.9031598
156.0,0.092264,0.9014581
158.0,0.0944405,0.8998219
160.0,0.0968992,0.8982593
162.0,0.0996158,0.8967772
164.0,0.1025609,0.8953808
166.0,0.1057008,0.8940738
168.0,0.108998,0.8928582
170.0,0.1124124,0.8917342
172.0,0.1159023,0.8907004
174.0,0.1194252,0.8897536
176.0,0.1229391,0.8888889
178.0,0.1264032,0.8880998
180.0,0.1297791,0.8873783
182.0,0.1330316,0.8867147
184.0,0.1361299,0.8860984
186.0,0.1390478,0.8855172
188.0,0.1417649,0.884958
190.0,0.1442666,0.8844071
192.0,0.1465448,0.8838496
194.0,0.1485982,0.8832705
196.0,0.150432,0.8826545
198.0,0.152058,0.8819859
200.0,0.1534946,0.8812493
202.0,0.1547659,0.8804298
204.0,0.1559014,0.8795126
206.0,0.1569354,0.878484
208.0,0.1579062,0.8773308
210.0,0.158855,0.8760413
212.0,0.1598252,0.8746045
214.0,0.1608615,0.8730112
216.0,0.1620084,0.8712533
218.0,0.1633095,0.8693245
220.0,0.1648067,0.8672201
222.0,0.1665386,0.8649371
224.0,0.1685404,0.8624741
226.0,0.1708424,0.8598315
228.0,0.1734697,0.8570116
230.0,0.1764414,0.8540182
232.0,0.1797706,0.8508568
234.0,0.1834634,0.8475345
236.0,0.1875194,0.8440596
238.0,0.1919315,0.8404421
240.0,0.1966859,0.8366929
242.0,0.2017628,0.832824
244.0,0.2071366,0.8288483
246.0,0.2127766,0.8247793
248.0,0.2186477,0.820631
250.0,0.2247115,0.8164177
252.0,0.2309267,0.8121539
254.0,0.2372506,0.8078538
256.0,0.2436397,0.8035314
258.0,0.250051,0.7992002
260.0,0.2564429,0.7948729
262.0,0.2627763,0.7905615
264.0,0.2690151,0.7862769
266.0,0.2751278,0.7820288
268.0,0.2810875,0.7778257
270.0,0.2868729,0.7736747
272.0,0.2924687,0.7695812
274.0,0.2978659,0.7655494
276.0,0.3030621,0.7615814
278.0,0.3080616,0.7576781
280.0,0.3128749,0.7538386
282.0,0.3175188,0.7500603
284.0,0.3220159,0.7463392
286.0,0.326394,0.7426698
288.0,0.3306852,0.7390451
290.0,0.3349254,0.7354568
292.0,0.3391536,0.7318955
294.0,0.3434101,0.7283508
296.0,0.3477365,0.7248115
298.0,0.352174,0.7212656
300.0,0.3567628,0.7177008
302.0,0.3615406,0.7141042
304.0,0.3665423,0.7104631
306.0,0.3717985,0.7067649
308.0,0.3773351,0.702997
310.0,0.3831726,0.6991477
312.0,0.3893254,0.6952056
314.0,0.3958014,0.6911605
316.0,0.402602,0.6870031
318.0,0.4097218,0.6827252
320.0,0.4171485,0.6783201
322.0,0.4248634,0.6737825
324.0,0.4328419,0.6691086
326.0,0.4410534,0.6642963
328.0,0.4494625,0.6593452
330.0,0.4580298,0.6542567
332.0,0.4667122,0.6490337
334.0,0.4754644,0.6436811
