instrument_local_time,h2_flow_sccm,ar_flow_sccm
12:00:20,20.0,60.0
12:00:40,20.0,60.0
12:01:00,20.0,60.0
12:01:20,20.0,60.0
12:01:40,20.0,60.0
12:02:00,30.0,50.0
12:02:20,30.0,50.0
12:02:40,30.0,50.0
12:03:00,30.0,50.0
12:03:20,30.0,50.0
12:03:40,30.0,50.0
12:04:00,30.0,50.0
12:04:20,30.0,50.0
12:04:40,30.0,50.0
12:05:00,45.0,35.0
12:05:20,45.0,35.0
12:05:40,45.0,35.0
12:06:00,45.0,35.0
12:06:20,45.0,35.0
12:06:40,45.0,35.0
12:07:00,45.0,35.0
12:07:20,45.0,35.0
12:07:40,45.0,35.0
12:08:00,25.0,55.0
12:08:20,25.0,55.0
12:08:40,25.0,55.0
12:09:00,25.0,55.0
12:09:20,25.0,55.0
12:09:40,25.0,55.0
12:10:00,25.0,55.0
